timestamp,scenario,channel,attempt,mode,G_prev_uS,G_uS,G_target_uS,err_uS,rel_err,alpha,beta,scaling_factor,K,pw_scale,np_scale,stuck_counter,flip_damped,PW_s,NP,Amplitude_V
2025-12-16 10:38:54,set,1,0,inc,7.256541955359053,,109.99999999999999,102.74345804464095,0.9340314367694632,2.0,0.5499999999999999,2.01,,,,,,0.0001,402,1.0
2025-12-16 10:38:56,set,1,0,read,7.256541955359053,10.243354988770818,109.99999999999999,99.75664501122917,0.9068785910111744,,,,,,,,,0.0,0,0.0
2025-12-16 10:38:56,set,1,1,inc,10.243354988770818,,109.99999999999999,99.75664501122917,0.9068785910111744,2.0,0.5499999999999999,2.59,,,,,,0.0001,518,1.0
2025-12-16 10:38:59,set,1,1,read,10.243354988770818,14.571460227590759,109.99999999999999,95.42853977240924,0.867532179749175,,,,,,,,,0.0,0,0.0
2025-12-16 10:38:59,set,1,2,inc,14.571460227590759,,109.99999999999999,95.42853977240924,0.867532179749175,2.0,0.5499999999999999,2.53,,,,,,0.0001,506,1.0
2025-12-16 10:39:01,set,1,2,read,14.571460227590759,32.556863533870995,109.99999999999999,77.44313646612899,0.7040285133284454,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:01,set,1,3,inc,32.556863533870995,,109.99999999999999,77.44313646612899,0.7040285133284454,2.0,0.5499999999999999,1.51,,,,,,0.0001,302,1.0
2025-12-16 10:39:04,set,1,3,read,32.556863533870995,32.95526891528113,109.99999999999999,77.04473108471886,0.700406646224717,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:04,set,1,4,inc,32.95526891528113,,109.99999999999999,77.04473108471886,0.700406646224717,2.0,0.5499999999999999,2.13,,,,,,0.0001,426,1.0
2025-12-16 10:39:06,set,1,4,read,32.95526891528113,23.387860466388457,109.99999999999999,86.61213953361153,0.7873830866691958,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:06,set,1,5,inc,23.387860466388457,,109.99999999999999,86.61213953361153,0.7873830866691958,2.0,0.5499999999999999,2.45,,,,,,0.0001,490,1.0
2025-12-16 10:39:09,set,1,5,read,23.387860466388457,34.69257692108499,109.99999999999999,75.307423078915,0.6846129370810454,,,,,,,,,0.0,0,0.0
